ID,PRE_POST2010,Arrest_Year,ARREST_DATE,PD_CD,PD_DESC,KY_CD,OFNS_DESC,LAW_CODE,LAW_CAT_CD,ARREST_BORO,ARREST_PRECINCT,AGE_GROUP,PERP_SEX,PERP_RACE,Lat,Long,Lon_Lat
338,POST,2021,27-Jan-21,109,"ASSAULT 2,1,UNCLASSIFIED",106,FELONY ASSAULT,PL 120051H,F,S,120,45-64,M,WHITE,40.60810041,-74.06755096,POINT (-74.06755095899997 40.60810040900003)
339,POST,2021,23-Jan-21,109,"ASSAULT 2,1,UNCLASSIFIED",106,FELONY ASSAULT,PL 120052H,F,S,122,45-64,F,BLACK HISPANIC,40.57962586,-74.10722606,POINT (-74.10722605899997 40.579625864000036)
340,POST,2021,22-Feb-21,112,MENACING 1ST DEGREE (VICT NOT,126,MISCELLANEOUS PENAL LAW,PL 120141H,F,S,120,18-24,M,BLACK,40.64502275,-74.07721685,POINT (-74.077216847 40.645022746000045)
341,POST,2021,24-Mar-21,269,"MISCHIEF,CRIMINAL,    UNCL 2ND",121,CRIMINAL MISCHIEF & RELATED OF,PL 145001H,F,S,120,45-64,M,WHITE,40.62949127,-74.11229584,POINT (-74.11229583999993 40.62949127100006)
342,POST,2021,24-Mar-21,269,"MISCHIEF,CRIMINAL,    UNCL 2ND",121,CRIMINAL MISCHIEF & RELATED OF,PL 145001H,F,S,120,45-64,M,WHITE,40.62949127,-74.11229584,POINT (-74.11229583999993 40.62949127100006)
343,POST,2021,24-Mar-21,269,"MISCHIEF,CRIMINAL,    UNCL 2ND",121,CRIMINAL MISCHIEF & RELATED OF,PL 145001H,F,S,120,45-64,M,WHITE,40.6297865,-74.11071477,POINT (-74.11071476799998 40.62978649600007)
344,POST,2021,24-Mar-21,269,"MISCHIEF,CRIMINAL,    UNCL 2ND",121,CRIMINAL MISCHIEF & RELATED OF,PL 145001H,F,S,120,45-64,M,WHITE,40.62949127,-74.11229584,POINT (-74.11229583999993 40.62949127100006)
345,POST,2021,24-Mar-21,269,"MISCHIEF,CRIMINAL,    UNCL 2ND",121,CRIMINAL MISCHIEF & RELATED OF,PL 145001H,F,S,120,45-64,M,WHITE,40.62949127,-74.11229584,POINT (-74.11229583999993 40.62949127100006)
346,POST,2021,24-Mar-21,269,"MISCHIEF,CRIMINAL,    UNCL 2ND",121,CRIMINAL MISCHIEF & RELATED OF,PL 145001H,F,S,120,45-64,M,WHITE,40.62949127,-74.11229584,POINT (-74.11229583999993 40.62949127100006)
347,POST,2021,24-Mar-21,269,"MISCHIEF,CRIMINAL,    UNCL 2ND",121,CRIMINAL MISCHIEF & RELATED OF,PL 145001H,F,S,120,45-64,M,WHITE,40.62949127,-74.11229584,POINT (-74.11229583999993 40.62949127100006)
348,POST,2021,14-Jan-21,269,"MISCHIEF,CRIMINAL,    UNCL 2ND",121,CRIMINAL MISCHIEF & RELATED OF,PL 145001H,F,S,120,18-24,M,BLACK HISPANIC,40.63063262,-74.11825304,POINT (-74.11825303599994 40.63063262000002)
